player_name,salary,position,team,game,slate_type,player_image,player_id,draftable_id,game_start,updated_at
Keelon Russell,12200,QB,BAMA,ECU @ BAMA,Showdown Captain Mode,https://dkn.gs/sports/images/cfb/teams/50/8166.png,1582204,44020005,09/05/2026 12:00 PM,2026-09-05T09:00:13Z
Demond Williams Jr.,12000,QB,UW,WSU @ UW,Showdown Captain Mode,https://dkn.gs/sports/images/cfb/teams/50/8101.png,1509038,44027151,09/06/2026 04:00 PM,2026-09-05T09:00:13Z
Kevin Jennings,11800,QB,SMU,SMU @ FSU,Showdown Captain Mode,https://dkn.gs/sports/images/cfb/teams/50/8233.png,1400553,44027593,09/07/2026 07:30 PM,2026-09-05T09:00:12Z
Sam Leavitt,11400,QB,LSU,CLEM @ LSU,Showdown Captain Mode,https://dkn.gs/sports/images/cfb/teams/50/8190.png,1458907,44025437,09/05/2026 07:30 PM,2026-09-05T09:00:12Z
Ashton Daniels,11200,QB,FSU,SMU @ FSU,Showdown Captain Mode,https://dkn.gs/sports/images/cfb/teams/50/7627.png,1395619,44027594,09/07/2026 07:30 PM,2026-09-05T09:00:12Z
Trinidad Chambliss,11000,QB,MISS,UL @ MISS,Showdown Captain Mode,https://dkn.gs/sports/images/cfb/teams/50/8197.png,1477140,44027293,09/06/2026 07:30 PM,2026-09-05T09:00:13Z
Byrum Brown,11000,QB,AUB,BAY @ AUB,Showdown Captain Mode,https://dkn.gs/sports/images/cfb/teams/50/8183.png,1379398,44024983,09/05/2026 03:30 PM,2026-09-05T09:00:13Z
Nico Iamaleava,10800,QB,UCLA,UCLA @ CAL,Showdown Captain Mode,https://dkn.gs/sports/images/cfb/teams/50/8091.png,1442954,44025595,09/05/2026 10:30 PM,2026-09-05T09:00:13Z
Jaron-Keawe Sagapolutele,10600,QB,CAL,UCLA @ CAL,Showdown Captain Mode,https://dkn.gs/sports/images/cfb/teams/50/8049.png,1582964,44025596,09/05/2026 10:30 PM,2026-09-05T09:00:13Z
Kewan Lacy,10400,RB,MISS,UL @ MISS,Showdown Captain Mode,https://dkn.gs/sports/images/cfb/teams/50/8197.png,1514633,44027294,09/06/2026 07:30 PM,2026-09-05T09:00:13Z
Daniel Hill,10400,RB,BAMA,ECU @ BAMA,Showdown Captain Mode,https://dkn.gs/sports/images/cfb/teams/50/8166.png,1506064,44020006,09/05/2026 12:00 PM,2026-09-05T09:00:13Z
